Id,Order,Family,Genus,Country,Locality,Bioregion,Type
Sonchus oleraceus (Harmignies),Asterales,Asteraceae,Sonchus,Belgium,Harmignies,Atlantic,Plant
Daucus carota (Harmignies),Apiales,Apiaceae,Daucus,Belgium,Harmignies,Atlantic,Plant
Rosa canina (Harmignies),Rosales,Rosaceae,Rosa,Belgium,Harmignies,Atlantic,Plant
Alliaria petiolata (Mons),Brassicales,Brassicaceae,Alliaria,Belgium,Mons,Atlantic,Plant
Geranium nodosum (Mons),Geraniales,Geraniaceae,Geranium,Belgium,Mons,Atlantic,Plant
Convolvulus arvensis (Mons),Solanales,Convolvulaceae,Convolvulus,Belgium,Mons,Atlantic,Plant
Vicia sepium (Mons),Fabales,Fabaceae,Vicia,Belgium,Mons,Atlantic,Plant
Mentha aquatica (Mons),Lamiales,Lamiaceae,Mentha,Belgium,Mons,Atlantic,Plant
Filipendula ulmaria (Mons),Rosales,Rosaceae,Filipendula,Belgium,Mons,Atlantic,Plant
Silene dioica (Mons),Caryophyllales,Caryophyllaceae,Silene,Belgium,Mons,Atlantic,Plant
Trifolium repens (Havr̩),Fabales,Fabaceae,Trifolium,Belgium,Havr̩,Atlantic,Plant
Verbena officinalis (Havr̩),Lamiales,Verbenaceae,Verbena,Belgium,Havr̩,Atlantic,Plant
Heracleum sphondylium (Havr̩),Apiales,Apiaceae,Heracleum,Belgium,Havr̩,Atlantic,Plant
Cirsium arvense (Havr̩),Asterales,Asteraceae,Cirsium,Belgium,Havr̩,Atlantic,Plant
Pentaglottis sempervirens (Havr̩),Boraginales,Boraginaceae,Pentaglottis,Belgium,Havr̩,Atlantic,Plant
Cirsium vulgare (Havr̩),Asterales,Asteraceae,Cirsium,Belgium,Havr̩,Atlantic,Plant
Silene dioica (Havr̩),Caryophyllales,Caryophyllaceae,Silene,Belgium,Havr̩,Atlantic,Plant
Carduus tenuiflorus (Havr̩),Asterales,Asteraceae,Carduus,Belgium,Havr̩,Atlantic,Plant
Stachys sylvatica (Havr̩),Lamiales,Lamiaceae,Stachys,Belgium,Havr̩,Atlantic,Plant
Lotus corniculatus (Havr̩),Fabales,Fabaceae,Lotus,Belgium,Havr̩,Atlantic,Plant
Anthriscus sylvestris (Havr̩),Apiales,Apiaceae,Anthriscus,Belgium,Havr̩,Atlantic,Plant
Tanacetum vulgare (Havr̩),Asterales,Asteraceae,Tanacetum,Belgium,Havr̩,Atlantic,Plant
Lythrum salicaria (Beloeil),Myrtales,Lythraceae,Lythrum,Belgium,Beloeil,Atlantic,Plant
Pulicaria dysenterica (Beloeil),Asterales,Asteraceae,Pulicaria,Belgium,Beloeil,Atlantic,Plant
Hypericum perforatum (Beloeil),Malpighiales,Hypericaceae,Hypericum,Belgium,Beloeil,Atlantic,Plant
Ranunculus repens (Beloeil),Ranunculales,Ranunculaceae,Ranunculus,Belgium,Beloeil,Atlantic,Plant
Filipendula ulmaria (Beloeil),Rosales,Rosaceae,Filipendula,Belgium,Beloeil,Atlantic,Plant
Mentha aquatica (Beloeil),Lamiales,Lamiaceae,Mentha,Belgium,Beloeil,Atlantic,Plant
Epilobium hirsutum (Beloeil),Myrtales,Onagraceae,Epilobium,Belgium,Beloeil,Atlantic,Plant
Trifolium repens (Beloeil),Fabales,Fabaceae,Trifolium,Belgium,Beloeil,Atlantic,Plant
Vicia sativa (Beloeil),Fabales,Fabaceae,Vicia,Belgium,Beloeil,Atlantic,Plant
Rubus fruticosus (Bernissart),Rosales,Rosaceae,Rubus,Belgium,Bernissart,Atlantic,Plant
Cytisus scoparius (Bernissart),Fabales,Fabaceae,Cytisus,Belgium,Bernissart,Atlantic,Plant
Echium vulgare (Bernissart),Boraginales,Boraginaceae,Echium,Belgium,Bernissart,Atlantic,Plant
Reseda luteola (Bernissart),Brassicales,Resedaceae,Reseda,Belgium,Bernissart,Atlantic,Plant
Hypericum perforatum (Bernissart),Malpighiales,Hypericaceae,Hypericum,Belgium,Bernissart,Atlantic,Plant
Calluna vulgaris (Bernissart),Ericales,Ericaceae,Calluna,Belgium,Bernissart,Atlantic,Plant
Picris hieracioides (Spiennes),Asterales,Asteraceae,Picris,Belgium,Spiennes,Atlantic,Plant
Chamaemelum nobile (Spiennes),Asterales,Asteraceae,Chamaemelum,Belgium,Spiennes,Atlantic,Plant
Brassica napus (Spiennes),Brassicales,Brassicaceae,Brassica,Belgium,Spiennes,Atlantic,Plant
Sonchus asper (Spiennes),Asterales,Asteraceae,Sonchus,Belgium,Spiennes,Atlantic,Plant
Carduus nutans (Spiennes),Asterales,Asteraceae,Carduus,Belgium,Spiennes,Atlantic,Plant
Buddleja davidii (Spiennes),Lamiales,Scrophulariaceae,Buddleja,Belgium,Spiennes,Atlantic,Plant
Matricaria chamomilla (Spiennes),Asterales,Asteraceae,Matricaria,Belgium,Spiennes,Atlantic,Plant
Senecio inaequidens (Harmignies),Asterales,Asteraceae,Senecio,Belgium,Harmignies,Atlantic,Plant
Dipsacus fullonum (Harmignies),Dipsacales,Caprifoliaceae,Dipsacus,Belgium,Harmignies,Atlantic,Plant
