Id,Country,Locality,Bioregion,Latitude,Longitude,Type
Geraniales (Mons),Belgium,Mons,Atlantic,50.4463,3.9568,Plant
Dipsacales (Mons),Belgium,Mons,Atlantic,50.4463,3.9568,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4463,3.9568,Plant
Boraginales (Tournai),Belgium,Tournai,Atlantic,50.5871,3.4385,Plant
Rosales (Tournai),Belgium,Tournai,Atlantic,50.5871,3.4385,Plant
Fabales (Tournai),Belgium,Tournai,Atlantic,50.5871,3.4385,Plant
Malpighiales (Tournai),Belgium,Tournai,Atlantic,50.5871,3.4385,Plant
Lamiales (Tournai),Belgium,Tournai,Atlantic,50.5871,3.4385,Plant
Cornales (Tournai),Belgium,Tournai,Atlantic,50.5871,3.4385,Plant
Asterales (Hyon),Belgium,Hyon,Atlantic,50.4276,3.9455,Plant
Boraginales (Hyon),Belgium,Hyon,Atlantic,50.4276,3.9455,Plant
Lamiales (Hyon),Belgium,Hyon,Atlantic,50.4276,3.9455,Plant
Fabales (Hyon),Belgium,Hyon,Atlantic,50.4276,3.9455,Plant
Apiales (Hyon),Belgium,Hyon,Atlantic,50.4276,3.9455,Plant
Malpighiales (Hyon),Belgium,Hyon,Atlantic,50.4276,3.9455,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4616,3.9146,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4616,3.9146,Plant
Solanales (Mons),Belgium,Mons,Atlantic,50.4616,3.9146,Plant
Cucurbitales (Mons),Belgium,Mons,Atlantic,50.4616,3.9146,Plant
Rosales (Mons),Belgium,Mons,Atlantic,50.4616,3.9146,Plant
Rosales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Brassicales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Lamiales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Apiales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Malpighiales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Boraginales (Mons),Belgium,Mons,Atlantic,50.4746,3.9365,Plant
Apiales (Mons),Belgium,Mons,Atlantic,50.4468,3.9501,Plant
Lamiales (Mons),Belgium,Mons,Atlantic,50.4468,3.9501,Plant
Malpighiales (Mons),Belgium,Mons,Atlantic,50.4468,3.9501,Plant
Brassicales (Mons),Belgium,Mons,Atlantic,50.4468,3.9501,Plant
Solanales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Lamiales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Ranunculales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Brassicales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Rosales (Mons),Belgium,Mons,Atlantic,50.4597,3.9454,Plant
Apiales (Harmignies),Belgium,Harmignies,Atlantic,50.4055,4.0133,Plant
Cucurbitales (Harmignies),Belgium,Harmignies,Atlantic,50.4055,4.0133,Plant
Asterales (Harmignies),Belgium,Harmignies,Atlantic,50.4055,4.0133,Plant
Rosales (Harmignies),Belgium,Harmignies,Atlantic,50.4055,4.0133,Plant
Apiales (La Louvière),Belgium,La Louvière,Atlantic,50.4573,4.1125,Plant
Asterales (La Louvière),Belgium,La Louvière,Atlantic,50.4573,4.1125,Plant
Ranunculales (La Louvière),Belgium,La Louvière,Atlantic,50.4573,4.1125,Plant
Myrtales (La Louvière),Belgium,La Louvière,Atlantic,50.4573,4.1125,Plant
Rosales (La Louvière),Belgium,La Louvière,Atlantic,50.4573,4.1125,Plant
Malvales (La Louvière),Belgium,La Louvière,Atlantic,50.4573,4.1125,Plant
Brassicales (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,50.4616,3.8406,Plant
Asterales (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,50.4616,3.8406,Plant
Boraginales (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,50.4616,3.8406,Plant
Lamiales (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,50.4616,3.8406,Plant
Dipsacales (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,50.4616,3.8406,Plant
Malpighiales (Saint-Ghislain),Belgium,Saint-Ghislain,Atlantic,50.4616,3.8406,Plant
Malpighiales (Beloeil),Belgium,Beloeil,Atlantic,50.4969,3.7201,Plant
Asterales (Beloeil),Belgium,Beloeil,Atlantic,50.4969,3.7201,Plant
Malpighiales (Mons),Belgium,Mons,Atlantic,50.4219,3.901,Plant
