Id,Country,Locality,Bioregion,Type
Nymphalidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Noctuidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Andrenidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Apidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Calliphoridae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Syrphidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Conopidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Bibionidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Ectobiidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Tachinidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Formicidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Muscidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Crabronidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Pieridae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Polleniidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Cantharidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Sepsidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Lycaenidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Elateridae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Melyridae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Cerambycidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Nitidulidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Micropterigidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Mordellidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Scarabaeidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Scathophagidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Empididae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
